code;name;sell_price;buy_price
GE-00032;GABINETE EXTINTOR GUILLOTINA CO2 6 kg. MEDIDAS 1000 x 400 x 300;40896;0
GE-00033;MARTILLO CON CADENA ;10792;0
GE-00040;GABINETE DE POLICARBONATO PARA 6 Kg MEDIDAS 670x300x230;39760;0
GE-00041;GABINETE DE POLICARBONATO PARA 10 Kg MEDIDAS 830x310x263;42600;0
ME-00009;VALVULA M-30. S/SIFON;4430;0
ME-00010;MANGUERA EXTINTOR DE 6 Kg;3277;0
ME-00011;MANGUERA EXTINTOR DE 10 Kg;3277;0
ME-00012;MANOMETRO BLINDADO;1900;0
ME-00013;SELLO DE EXTINTOR;114;0
ME-00014;SOPORTE DE EXTINTOR;1136;0
ME-00015;CINTILLO  EXTINTOR 4 Kg-6 Kg -10 Kg;1704;0
ME-00016;VALVULA C/SIFON M-22;4270;0
ME-00017;SIFON DE 4-6-10;1300;0
SE-00001;MANTENCION EXTINTOR PQS 1 Kg.;1560;0
SE-00002;MANTENCION EXTINTOR PQS 2 Kg.;4550;0
SE-00003;MANTENCION EXTINTOR PQS 4 Kg.;5850;0
SE-00004;MANTENCION EXTINTOR PQS 6 Kg.;7150;0
SE-00005;MANTENCION EXTINTOR PQS 10 Kg.;8000;0
SE-00006;MANTENCION EXTINTOR PQS 25 Kg.;45000;0
SE-00007;MANTENCION EXTINTOR PQS 50 Kg.;70000;0
SE-00008;MANTENCION EXTINTOR  CO2 2 Kg.;4369;0
SE-00009;MANTENCION EXTINTOR  CO2 5 Kg.;5300;0
SE-00010;MANTENCION EXTINTOR CO2 6 Kg.;5300;0
SE-00011;MANTENCION EXTINTOR  CO2 10 Kg.;10400;0
SE-00014;RECARGA EXTINTOR PQS ABC 2 Kg. al 90% ;6500;0
SE-00015;RECARGA EXTINTOR PQS ABC 4 Kg. al 90% ;13000;0
SE-00016;RECARGA EXTINTOR PQS ABC 6 Kg. al 90% ;19500;0
SE-00017;RECARGA EXTINTOR PQS ABC 10 Kg. al 90% ;32500;0
SE-00018;RECARGA EXTINTOR PQS ABC 25 Kg. al 90% ;81250;0
SE-00019;RECARGA EXTINTOR PQS ABC 50 Kg. al 90% ;162500;0
SE-00020;RECARGA EXTINTOR  CO2 2 Kg.;16900;0
SE-00021;RECARGA EXTINTOR CO2 5 Kg.;41600;0
